PeakID	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
26241	chr6	37100887	37100956	+	0	NA	Intergenic	Intergenic	-37001	NM_002648	PIM1	NM_002648			PIM1			
13465	chr18	56182520	56182578	+	0	NA	intron (NM_052947, intron 9 of 12)	-intron (NM_052947, intron 9 of 12)	-64165	NR_039899	MIR3591	NR_039899			MIR3591			
13069	chr17	80272330	80272431	+	0	NA	TTS (NM_006137)	-TTS (NM_006137)	3100	NM_006137	CD7	NM_006137			CD7			
2552	chr1	9777871	9777965	+	0	NA	intron (NM_005026, intron 8 of 23)	-intron (NM_005026, intron 8 of 23)	-63274	NR_027045	C1orf200	NR_027045			C1orf200			
24603	chr5	28142833	28142945	+	0	NA	Intergenic	Intergenic	670490	NR_038848	LOC643401	NR_038848			LOC643401			
10862	chr16	86013609	86013759	+	0	NA	Intergenic	Intergenic	80910	NM_002163	IRF8	NM_002163			IRF8			
3105	chr10	134670581	134670692	+	0	NA	intron (NM_001200049, intron 39 of 57)	-intron (NM_001200049, intron 39 of 57)	-71099	NM_177400	NKX6-2	NM_177400			NKX6-2			
23788	chr5	138750428	138750549	+	0	NA	intron (NM_152686, intron 7 of 7)	-intron (NM_152686, intron 7 of 7)	-10712	NM_194296	SPATA24	NM_194296			SPATA24			
902	chr1	194837731	194837796	+	0	NA	Intergenic	Intergenic	-1682020	NM_003783	B3GALT2	NM_003783			B3GALT2			
11597	chr17	28898309	28898393	+	0	NA	Intergenic	Intergenic	-5132	NR_015341	LRRC37BP1	NR_015341			LRRC37BP1			
6430	chr12	38445043	38445158	+	0	NA	Intergenic	Intergenic	-265457	NM_001013620	ALG10B	NM_001013620			ALG10B			
24325	chr5	1777941	1778034	+	0	NA	Intergenic	Intergenic	21969	NM_032479	MRPL36	NM_032479			MRPL36			
19735	chr22	24641323	24641373	+	0	NA	promoter-TSS (NM_001099781)	-promoter-TSS (NM_001099781)	-238	NM_001099781	GGT5	NM_001099781			GGT5			
32036	chrX	39436040	39436166	+	0	NA	Intergenic	Intergenic	-249487	NR_038968	LOC286442	NR_038968			LOC286442			
1036	chr1	203594174	203594310	+	0	NA	Intergenic	Intergenic	-1673	NM_001001396	ATP2B4	NM_001684			ATP2B4			
18545	chr20	57292827	57292900	+	0	NA	Intergenic	Intergenic	25001	NM_024663	NPEPL1	NM_024663			NPEPL1			
3621	chr10	61828426	61828510	+	0	NA	exon (NM_020987, exon 37 of 44)	-exon (NM_020987, exon 37 of 44)	72306	NM_001149	ANK3	NM_001204403			ANK3			
137	chr1	111436038	111436104	+	0	NA	intron (NM_001040033, intron 4 of 8)	-intron (NM_000560, intron 3 of 7)	20349	NM_000560	CD53	NM_000560			CD53			
5724	chr12	111506344	111506424	+	0	NA	intron (NM_015267, intron 1 of 21)	-intron (NM_015267, intron 1 of 21)	34556	NM_015267	CUX2	NM_015267			CUX2			
9058	chr15	66318660	66318733	+	0	NA	intron (NM_032445, intron 5 of 22)	-intron (NM_032445, intron 5 of 22)	-13875	NR_036196	MIR4311	NR_036196			MIR4311			
12796	chr17	77680439	77680559	+	0	NA	TTS (NR_039893)	-TTS (NR_039893)	559	NR_039893	MIR4739	NR_039893			MIR4739			
27139	chr7	150655258	150655307	+	0	NA	exon (NM_000238, exon 4 of 15)	-exon (NM_000238, exon 4 of 15)	-2365	NM_001204798	KCNH2	NM_001204798			KCNH2			
20103	chr22	42367255	42367379	+	0	NA	Intergenic	Intergenic	-5614	NM_145733	SEPT3	NM_019106			SEPT3			
16911	chr2	229997158	229997203	+	0	NA	intron (NM_017933, intron 3 of 3)	-intron (NM_001100818, intron 2 of 2)	138877	NM_017933	PID1	NM_017933			PID1			
19938	chr22	36681631	36681725	+	0	NA	intron (NM_002473, intron 37 of 40)	-intron (NM_002473, intron 37 of 40)	32561	NM_001136541	APOL1	NM_001136540			APOL1			
9740	chr16	1560081	1560144	+	0	NA	TTS (NM_014714)	-TTS (NM_014714)	16760	NM_016111	TELO2	NM_016111			TELO2			
1539	chr1	242722275	242722341	+	0	NA	Intergenic	Intergenic	-34310	NM_152666	PLD5	NM_001195811			PLD5			
18242	chr20	37335275	37335365	+	0	NA	Intergenic	Intergenic	-17785	NM_080552	SLC32A1	NM_080552			SLC32A1			
2773	chr10	1195359	1195441	+	0	NA	Intergenic	Intergenic	-10308	NR_015376	LINC00200	NR_015376			LINC00200			
6160	chr12	132837431	132837523	+	0	NA	intron (NM_001122636, intron 4 of 10)	-intron (NM_001122636, intron 4 of 10)	-14500	NR_024563	LOC100130238	NR_024563			LOC100130238			
11432	chr17	1920020	1920058	+	0	NA	intron (NM_178568, intron 1 of 1)	-intron (NM_178568, intron 1 of 1)	8139	NM_178568	RTN4RL1	NM_178568			RTN4RL1			
2369	chr1	70385270	70385347	+	0	NA	exon (NR_023916, exon 1 of 1)	-exon (NR_023916, exon 1 of 1)	303	NR_023916	PIN1P1	NR_023916			PIN1P1			
30244	chr9	131554875	131554934	+	0	NA	intron (NM_018201, intron 6 of 11)	-intron (NM_018201, intron 6 of 11)	5394	NM_018201	TBC1D13	NM_018201			TBC1D13			
13371	chr18	31998531	31998663	+	0	NA	Intergenic	Intergenic	-74657	NM_001198945	DTNA	NM_032975			DTNA			
29829	chr8	92455519	92455620	+	0	NA	Intergenic	Intergenic	194053	NM_134266	SLC26A7	NM_134266			SLC26A7			
5332	chr11	69641087	69641163	+	0	NA	Intergenic	Intergenic	-6933	NM_005247	FGF3	NM_005247			FGF3			
10690	chr16	81672686	81672738	+	0	NA	intron (NM_198390, intron 3 of 20)	-intron (NM_030629, intron 3 of 20)	-26247	NR_045112	LOC100129617	NR_045112			LOC100129617			
29355	chr8	31072957	31073091	+	0	NA	Intergenic	Intergenic	-181793	NM_001015508	PURG	NM_013357			PURG			
25554	chr6	159636016	159636122	+	0	NA	exon (NM_032532, exon 5 of 23)	-exon (NM_032532, exon 5 of 23)	45640	NM_032532	FNDC1	NM_032532			FNDC1			
24647	chr5	33724818	33724950	+	0	NA	intron (NM_030955, intron 3 of 23)	-intron (NM_030955, intron 3 of 23)	167240	NM_030955	ADAMTS12	NM_030955			ADAMTS12			
8959	chr15	55383595	55383727	+	0	NA	Intergenic	Intergenic	105570	NM_016304	RSL24D1	NM_016304			RSL24D1			
10869	chr16	860751	860834	+	0	NA	intron (NM_001013638, intron 2 of 2)	-intron (NM_001013638, intron 2 of 2)	5349	NM_001013638	PRR25	NM_001013638			PRR25			
12640	chr17	75476651	75476746	+	0	NA	intron (NM_001113495, intron 1 of 9)	-intron (NM_001113491, intron 3 of 11)	5373	NM_001113495	SEPT9	NM_001113494			SEPT9			
9779	chr16	1937074	1937158	+	0	NA	Intergenic	Intergenic	-2884	NR_033914	LINC00254	NR_033914			LINC00254			
1863	chr1	3380072	3380110	+	0	NA	exon (NM_014448, exon 2 of 15)	-exon (NM_014448, exon 2 of 15)	8944	NM_014448	ARHGEF16	NM_014448			ARHGEF16			
29663	chr8	65491201	65491317	+	0	NA	Intergenic	Intergenic	-1439	NR_015374	LOC401463	NR_015374			LOC401463			
5327	chr11	69589461	69589632	+	0	NA	exon (NM_002007, exon 1 of 3)	-exon (NM_002007, exon 1 of 3)	625	NM_002007	FGF4	NM_002007			FGF4			
25632	chr6	164133581	164133626	+	0	NA	Intergenic	Intergenic	297928	NM_206855	QKI	NM_206853			QKI			
12386	chr17	71362710	71362843	+	0	NA	intron (NM_001144952, intron 37 of 44)	-intron (NM_001144952, intron 37 of 44)	-54633	NM_012121	CDC42EP4	NM_012121			CDC42EP4			
11580	chr17	27908686	27908760	+	0	NA	intron (NM_014030, intron 6 of 19)	-intron (NM_001085454, intron 6 of 20)	7887	NM_014030	GIT1	NM_014030			GIT1			
3965	chr10	98802978	98803117	+	0	NA	intron (NM_003061, intron 19 of 36)	-intron (NM_003061, intron 19 of 36)	-59466	NR_038330	LOC100505540	NR_038330			LOC100505540			
11708	chr17	36200319	36200362	+	0	NA	Intergenic	Intergenic	44023	NR_024178	LOC284100	NR_024178			LOC284100			
872	chr1	1916807	1916951	+	0	NA	exon (NM_001080484, exon 6 of 18)	-exon (NM_001080484, exon 6 of 18)	18397	NM_001080484	KIAA1751	NM_001080484			KIAA1751			
18489	chr20	55325798	55325862	+	0	NA	Intergenic	Intergenic	121472	NM_003222	TFAP2C	NM_003222			TFAP2C			
962	chr1	200182944	200183054	+	0	NA	exon (NM_001105517, exon 1 of 1)	-exon (NM_001105517, exon 1 of 1)	343	NM_001105517	FAM58BP	NM_001105517			FAM58BP			
13691	chr18	77388124	77388197	+	0	NA	Intergenic	Intergenic	-51641	NM_004715	CTDP1	NM_048368			CTDP1			
5932	chr12	123881895	123881945	+	0	NA	intron (NM_020382, intron 5 of 7)	-intron (NM_020382, intron 5 of 7)	13216	NM_020382	SETD8	NM_020382			SETD8			
28750	chr8	140978685	140978789	+	0	NA	intron (NM_031466, intron 19 of 22)	-intron (NM_001160372, intron 19 of 22)	-263438	NM_016601	KCNK9	NM_016601			KCNK9			
1060	chr1	204242756	204242825	+	0	NA	exon (NM_014935, exon 3 of 23)	-exon (NM_014935, exon 3 of 23)	-59570	NM_198447	GOLT1A	NM_198447			GOLT1A			
19130	chr21	41516787	41516860	+	0	NA	intron (NM_001389, intron 16 of 32)	-intron (NM_001389, intron 16 of 32)	67535	NR_039917	MIR4760	NR_039917			MIR4760			
3266	chr10	16570111	16570265	+	0	NA	Intergenic	Intergenic	-6184	NM_001010908	C1QL3	NM_001010908			C1QL3			
25262	chr6	118229541	118229707	+	0	NA	intron (NM_001029858, intron 1 of 7)	-intron (NM_001029858, intron 1 of 7)	935	NM_001029858	SLC35F1	NM_001029858			SLC35F1			
25944	chr6	2317777	2317860	+	0	NA	intron (NR_046229, intron 3 of 6)	-intron (NR_046229, intron 3 of 6)	71831	NR_046229	LOC100508120	NR_046229			LOC100508120			
31310	chr9	88787850	88787983	+	0	NA	Intergenic	Intergenic	-72800	NM_177937	GOLM1	NM_177937			GOLM1			
31848	chrX	153254259	153254351	+	0	NA	Intergenic	Intergenic	-7678	NR_036175	MIR3202-2	NR_036175			MIR3202-2			
4879	chr11	46373972	46374102	+	0	NA	intron (NM_003646, intron 1 of 30)	-intron (NM_001199266, intron 1 of 30)	5081	NM_001199268	DGKZ	NM_001105540			DGKZ			
15109	chr19	461658	461767	+	0	NA	promoter-TSS (NM_012435)	-promoter-TSS (NM_012435)	-716	NM_012435	SHC2	NM_012435			SHC2			
20939	chr3	141527279	141527410	+	0	NA	intron (NM_139209, intron 3 of 3)	-intron (NM_139209, intron 3 of 3)	30301	NM_139209	GRK7	NM_139209			GRK7			
1230	chr1	2169303	2169427	+	0	NA	intron (NM_003036, intron 1 of 6)	-intron (NM_003036, intron 1 of 6)	9231	NM_003036	SKI	NM_003036			SKI			
9050	chr15	65495471	65495566	+	0	NA	intron (NM_003613, intron 7 of 8)	-intron (NM_003613, intron 7 of 8)	8322	NM_003613	CILP	NM_003613			CILP			
13580	chr18	73434667	73434733	+	0	NA	Intergenic	Intergenic	-295111	NM_001037331	C18orf62	NM_001037331			C18orf62			
3715	chr10	72769095	72769226	+	0	NA	Intergenic	Intergenic	-120619	NM_000281	PCBD1	NM_000281			PCBD1			
30515	chr9	137127411	137127480	+	0	NA	Intergenic	Intergenic	-90871	NM_002957	RXRA	NM_002957			RXRA			
1078	chr1	204637580	204637646	+	0	NA	intron (NM_201630, intron 1 of 1)	-intron (NM_006338, intron 2 of 2)	16868	NM_006338	LRRN2	NM_201630			LRRN2			
24425	chr5	178764059	178764175	+	0	NA	intron (NM_021599, intron 2 of 10)	-intron (NM_014244, intron 2 of 21)	8314	NM_014244	ADAMTS2	NM_021599			ADAMTS2			
8782	chr15	29517235	29517311	+	0	NA	intron (NM_015307, intron 3 of 10)	-intron (NM_015307, intron 3 of 10)	44747	NM_138704	NDNL2	NM_138704			NDNL2			
19833	chr22	29704233	29704336	+	0	NA	exon (NM_006478, exon 2 of 6)	-exon (NM_006478, exon 2 of 6)	1287	NM_152236	GAS2L1	NM_006478			GAS2L1			
1948	chr1	3595136	3595176	+	0	NA	intron (NM_005427, intron 1 of 13)	-intron (NM_001204184, intron 1 of 12)	-12080	NM_001204190	TP73	NM_001204192			TP73			
23187	chr4	7433160	7433248	+	0	NA	exon (NM_001085382, exon 1 of 1)	-exon (NM_001085382, exon 1 of 1)	3496	NM_001085382	PSAPL1	NM_001085382			PSAPL1			
8180	chr14	35270837	35270989	+	0	NA	intron (NM_182648, intron 7 of 25)	-intron (NM_013448, intron 7 of 26)	73940	NM_182648	BAZ1A	NM_182648			BAZ1A			
31821	chrX	152840278	152840418	+	0	NA	intron (NM_021949, intron 20 of 20)	-intron (NM_001001344, intron 19 of 19)	24284	NM_152274	FAM58A	NM_152274			FAM58A			
22606	chr4	185491042	185491193	+	0	NA	Intergenic	Intergenic	79512	NM_032991	CASP3	NM_004346			CASP3			
22432	chr4	165729638	165729704	+	0	NA	Intergenic	Intergenic	54388	NR_038834	LOC100505989	NR_038834			LOC100505989			
4759	chr11	32536339	32536470	+	0	NA	Intergenic	Intergenic	-68909	NM_006360	EIF3M	NM_006360			EIF3M			
26949	chr7	1330788	1330852	+	0	NA	Intergenic	Intergenic	58166	NM_001080461	UNCX	NM_001080461			UNCX			
27195	chr7	151732272	151732337	+	0	NA	intron (NM_022087, intron 1 of 11)	-intron (NM_022087, intron 1 of 11)	9526	NM_022087	GALNT11	NM_022087			GALNT11			
26189	chr6	34433984	34434029	+	0	NA	exon (NM_020804, exon 1 of 10)	-exon (NM_020804, exon 1 of 10)	153	NM_020804	PACSIN1	NM_001199583			PACSIN1			
29292	chr8	25907748	25907817	+	0	NA	Intergenic	Intergenic	-5142	NM_022659	EBF2	NM_022659			EBF2			
579	chr1	16336322	16336443	+	0	NA	Intergenic	Intergenic	5651	NM_178840	C1orf64	NM_178840			C1orf64			
1447	chr1	2346955	2347036	+	0	NA	Intergenic	Intergenic	-2985	NM_002617	PEX10	NM_153818			PEX10			
10941	chr16	87648866	87648949	+	0	NA	intron (NM_020655, intron 1 of 4)	-intron (NM_020655, intron 1 of 4)	12408	NM_020655	JPH3	NM_020655			JPH3			
31716	chrX	138284680	138284730	+	0	NA	intron (NM_001139501, intron 2 of 7)	-intron (NM_001139498, intron 2 of 5)	2480	NM_001139501	FGF13	NM_033642			FGF13			
3137	chr10	134794089	134794152	+	0	NA	Intergenic	Intergenic	15082	NR_046231	LOC399829	NR_046231			LOC399829			
13114	chr17	80808558	80808733	+	0	NA	intron (NM_005993, intron 13 of 38)	-intron (NM_005993, intron 13 of 38)	-10714	NM_024702	ZNF750	NM_024702			ZNF750			
797	chr1	183578717	183578810	+	0	NA	Intergenic	Intergenic	-18707	NM_001127651	NCF2	NM_001190789			NCF2			
31383	chr9	93563710	93563816	+	0	NA	promoter-TSS (NM_001135052)	-promoter-TSS (NM_001135052)	-249	NM_003177	SYK	NM_003177			SYK			
32041	chrX	39865425	39865478	+	0	NA	Intergenic	Intergenic	91268	NM_001123385	BCOR	NM_001123383			BCOR			
21411	chr3	197371940	197371985	+	0	NA	Intergenic	Intergenic	-17210	NR_003266	LOC220729	NR_003266			LOC220729			
18826	chr20	62038502	62038585	+	0	NA	exon (NM_004518, exon 15 of 15)	-exon (NM_004518, exon 15 of 15)	-45795	NM_001256573	CHRNA4	NM_001256573			CHRNA4			
30718	chr9	139250253	139250316	+	0	NA	exon (NM_001145638, exon 12 of 14)	-exon (NM_001145638, exon 12 of 14)	1032	NM_001200003	GPSM1	NM_001200003			GPSM1			
21547	chr3	39850326	39850408	+	0	NA	promoter-TSS (NM_015460)	-promoter-TSS (NM_015460)	-936	NM_015460	MYRIP	NM_015460			MYRIP			
23352	chr4	8648693	8648757	+	0	NA	Intergenic	Intergenic	54338	NM_001014448	CPZ	NM_003652			CPZ			
25357	chr6	13385357	13385431	+	0	NA	intron (NM_018988, intron 1 of 1)	-intron (NM_001242628, intron 1 of 1)	22975	NM_001242630	GFOD1	NM_001242630			GFOD1			
24074	chr5	167956820	167956882	+	0	NA	exon (NR_024356, exon 1 of 1)	-exon (NR_024356, exon 1 of 1)	269	NR_024356	FBLL1	NR_024356			FBLL1			
17465	chr2	3691143	3691190	+	0	NA	intron (NR_045659, intron 7 of 7)	-intron (NM_001255982, intron 5 of 5)	-14620	NM_018436	ALLC	NM_018436			ALLC			
21324	chr3	192874140	192874311	+	0	NA	Intergenic	Intergenic	-84693	NM_020386	HRASLS	NM_020386			HRASLS			
294	chr1	1357873	1358022	+	0	NA	Intergenic	Intergenic	-1123	NM_001243535	ANKRD65	NM_001243535			ANKRD65			
6425	chr12	3660675	3660726	+	0	NA	intron (NM_019854, intron 3 of 9)	-intron (NM_001256536, intron 3 of 9)	13320	NR_046301	PRMT8	NM_019854			PRMT8			
1644	chr1	27129974	27130038	+	0	NA	Intergenic	Intergenic	15327	NM_001202554	PIGV	NM_017837			PIGV			
20005	chr22	38453496	38453622	+	0	NA	exon (NM_012407, exon 1 of 13)	-exon (NM_012407, exon 1 of 13)	297	NM_012407	PICK1	NM_001039584			PICK1			
29108	chr8	145588379	145588512	+	0	NA	Intergenic	Intergenic	6169	NM_024531	GPR172A	NR_045600			GPR172A			
20238	chr22	45432589	45432663	+	0	NA	Intergenic	Intergenic	-26817	NM_001135862	PHF21B	NM_138415			PHF21B			
22846	chr4	3644642	3644714	+	0	NA	Intergenic	Intergenic	34904	NR_034136	LOC100133461	NR_034136			LOC100133461			
22485	chr4	173832102	173832146	+	0	NA	intron (NM_001034845, intron 8 of 12)	-intron (NM_001034845, intron 8 of 12)	-257780	NM_017423	GALNT7	NM_017423			GALNT7			
8463	chr14	80753359	80753436	+	0	NA	intron (NR_038355, intron 2 of 8)	-intron (NR_038355, intron 2 of 8)	-56000	NM_000793	DIO2	NM_001007023			DIO2			
29333	chr8	28278666	28278798	+	0	NA	Intergenic	Intergenic	-34755	NM_018660	ZNF395	NM_018660			ZNF395			
23566	chr5	11903906	11903944	+	0	NA	intron (NM_001332, intron 1 of 21)	-intron (NM_001332, intron 1 of 21)	185	NM_001332	CTNND2	NM_001332			CTNND2			
8857	chr15	40385567	40385681	+	0	NA	intron (NM_001003943, intron 1 of 1)	-intron (NM_001003940, intron 4 of 4)	12663	NM_001003943	BMF	NM_001003940			BMF			
18295	chr20	42907720	42907769	+	0	NA	exon (NM_001256737, exon 6 of 6)	-exon (NM_001256737, exon 6 of 6)	31846	NM_001256739	GDAP1L1	NM_001256738			GDAP1L1			
11845	chr17	40913703	40913806	+	0	NA	promoter-TSS (NR_024461)	-promoter-TSS (NR_024461)	-479	NR_024462	LOC100190938	NR_024462			LOC100190938			
18947	chr20	8624653	8624710	+	0	NA	intron (NM_182734, intron 4 of 32)	-intron (NM_015192, intron 4 of 31)	-425020	NM_001172646	PLCB4	NM_182797			PLCB4			
26029	chr6	28511649	28511756	+	0	NA	Intergenic	Intergenic	17913	NM_003996	GPX5	NM_003996_1			GPX5			
3128	chr10	134752926	134753016	+	0	NA	intron (NM_001200049, intron 4 of 57)	-intron (NM_001200049, intron 4 of 57)	3118	NM_001200049	TTC40	NM_001200049			TTC40			
16415	chr2	146076947	146077013	+	0	NA	Intergenic	Intergenic	651446	NR_033870	DKFZp686O1327	NR_033870			DKFZp686O1327			
11216	chr16	90085193	90085290	+	0	NA	intron (NM_001042610, intron 1 of 3)	-intron (NM_001042610, intron 1 of 3)	696	NM_001042610	DBNDD1	NM_001042610			DBNDD1			
25327	chr6	129204126	129204253	+	0	NA	promoter-TSS (NM_000426)	-promoter-TSS (NM_000426)	-97	NM_001079823	LAMA2	NM_000426			LAMA2			
21701	chr3	50604743	50604905	+	0	NA	intron (NM_016210, intron 1 of 5)	-intron (NM_001171740, intron 1 of 4)	399	NM_016210	C3orf18	NM_001171740			C3orf18			
884	chr1	19283840	19283921	+	0	NA	Intergenic	Intergenic	-1054	NM_001136265	IFFO2	NM_001136265			IFFO2			
695	chr1	175067607	175067650	+	0	NA	exon (NM_022093, exon 9 of 19)	-exon (NM_022093, exon 9 of 19)	30634	NM_022093	TNN	NM_022093			TNN			
21616	chr3	46925074	46925148	+	0	NA	exon (NM_000316, exon 3 of 16)	-exon (NM_000316, exon 3 of 16)	1372	NM_001184744	PTH1R	NM_000316			PTH1R			
18176	chr20	34013911	34013977	+	0	NA	Intergenic	Intergenic	12083	NM_000557	GDF5	NM_000557			GDF5			
23106	chr4	65221239	65221375	+	0	NA	intron (NM_001010874, intron 2 of 11)	-intron (NM_001010874, intron 2 of 11)	53871	NM_001010874	TECRL	NM_001010874			TECRL			
1445	chr1	234342067	234342140	+	0	NA	intron (NM_173508, intron 2 of 7)	-intron (NM_173508, intron 2 of 7)	-100110	NR_039818	MIR4671	NR_039818			MIR4671			
28060	chr7	63250425	63250484	+	0	NA	Intergenic	Intergenic	168986	NR_036246_1	MIR4283-1	NR_036246_1			MIR4283-1			
13634	chr18	76282669	76282716	+	0	NA	Intergenic	Intergenic	-457583	NM_171999	SALL3	NM_171999			SALL3			
19588	chr22	19738136	19738174	+	0	NA	Intergenic	Intergenic	-6071	NM_080647	TBX1	NM_080646			TBX1			
19928	chr22	35847460	35847602	+	0	NA	Intergenic	Intergenic	51415	NM_006739	MCM5	NM_006739			MCM5			
9898	chr16	25808202	25808320	+	0	NA	intron (NM_006040, intron 1 of 1)	-intron (NM_006040, intron 1 of 1)	104914	NM_006040	HS3ST4	NM_006040			HS3ST4			
23910	chr5	14582368	14582451	+	0	NA	intron (NM_019018, intron 1 of 7)	-intron (NM_019018, intron 1 of 7)	518	NM_019018	FAM105A	NM_019018			FAM105A			
29409	chr8	38369860	38370029	+	0	NA	exon (NM_207412, exon 3 of 3)	-exon (NM_207412, exon 3 of 3)	16236	NM_207412	C8orf86	NM_207412			C8orf86			
4364	chr11	134201985	134202069	+	0	NA	exon (NM_138342, exon 1 of 20)	-exon (NM_138342, exon 1 of 20)	259	NM_138342	GLB1L2	NM_138342			GLB1L2			
18321	chr20	44781935	44782082	+	0	NA	Intergenic	Intergenic	35102	NM_001250	CD40	NM_152854			CD40			
7277	chr13	114506111	114506212	+	0	NA	intron (NM_182614, intron 7 of 8)	-intron (NM_182614, intron 7 of 8)	30553	NM_001143946	GAS6	NM_001143946			GAS6			
17194	chr2	241511020	241511112	+	0	NA	intron (NM_018226, intron 1 of 10)	-intron (NM_018226, intron 1 of 10)	3062	NM_018226	RNPEPL1	NM_018226			RNPEPL1			
12135	chr17	55939922	55940096	+	0	NA	TTS (NM_017949)	-TTS (NM_017949)	-12576	NM_016070	MRPS23	NM_016070			MRPS23			
30778	chr9	139611148	139611242	+	0	NA	intron (NM_152421, intron 1 of 4)	-intron (NM_152421, intron 1 of 4)	4171	NM_152421	FAM69B	NM_152421			FAM69B			
4251	chr11	1248900	1248970	+	0	NA	exon (NM_002458, exon 7 of 49)	-exon (NM_002458, exon 7 of 49)	4640	NM_002458	MUC5B	NM_002458			MUC5B			
4520	chr11	1886002	1886102	+	0	NA	promoter-TSS (NM_001242932)	-promoter-TSS (NM_001242932)	-343	NM_001242932	LSP1	NM_001013254			LSP1			
10953	chr16	87715315	87715356	+	0	NA	intron (NM_020655, intron 2 of 4)	-intron (NM_020655, intron 2 of 4)	78836	NM_020655	JPH3	NM_020655			JPH3			
1158	chr1	208143502	208143571	+	0	NA	Intergenic	Intergenic	-58853	NM_001025109	CD34	NM_001025109			CD34			
23482	chr5	105794902	105794968	+	0	NA	Intergenic	Intergenic	1211661	NM_001962	EFNA5	NM_001962			EFNA5			
30467	chr9	136322506	136322604	+	0	NA	intron (NR_024514, intron 17 of 17)	-intron (NM_139025, intron 27 of 28)	-2532	NM_017586	C9orf7	NM_001242369			C9orf7			
14798	chr19	39001572	39001656	+	0	NA	intron (NM_001042723, intron 60 of 104)	-intron (NM_000540, intron 60 of 105)	77274	NM_000540	RYR1	NM_001042723			RYR1			
12587	chr17	74524688	74524804	+	0	NA	intron (NM_134268, intron 3 of 3)	-intron (NM_134268, intron 3 of 3)	1078	NR_033357	PRCD	NR_033357			PRCD			
21613	chr3	46923612	46923693	+	0	NA	promoter-TSS (NM_001184744)	-promoter-TSS (NM_001184744)	-87	NM_001184744	PTH1R	NM_000316			PTH1R			
274	chr1	12227586	12227637	+	0	NA	intron (NM_001066, intron 1 of 9)	-intron (NM_001066, intron 1 of 9)	551	NM_001066	TNFRSF1B	NM_001066			TNFRSF1B			
31255	chr9	82132461	82132526	+	0	NA	Intergenic	Intergenic	-54385	NM_007005	TLE4	NM_007005			TLE4			
11604	chr17	29254558	29254626	+	0	NA	intron (NM_018404, intron 3 of 10)	-intron (NM_018404, intron 3 of 10)	5838	NM_018404	ADAP2	NM_018404			ADAP2			
1636	chr1	26763008	26763074	+	0	NA	intron (NM_205861, intron 2 of 8)	-intron (NM_001243564, intron 2 of 7)	4268	NM_001243565	DHDDS	NM_205861			DHDDS			
21900	chr3	78554900	78555033	+	0	NA	Intergenic	Intergenic	513643	NM_001145845	ROBO1	NM_002941			ROBO1			
28364	chr7	98078115	98078160	+	0	NA	Intergenic	Intergenic	-47710	NM_018842	BAIAP2L1	NM_018842			BAIAP2L1			
15202	chr19	48048440	48048525	+	0	NA	exon (NM_001101419, exon 3 of 15)	-exon (NM_001101419, exon 3 of 15)	10631	NM_001101419	ZNF541	NM_001101419			ZNF541			
12835	chr17	77951073	77951163	+	0	NA	intron (NM_019020, intron 3 of 11)	-intron (NM_019020, intron 3 of 11)	58529	NM_019020	TBC1D16	NM_019020			TBC1D16			
18434	chr20	50064597	50064749	+	0	NA	intron (NM_173091, intron 6 of 9)	-intron (NM_001136021, intron 6 of 10)	4841	NR_036162	MIR3194	NR_036162			MIR3194			
1310	chr1	226516262	226516359	+	0	NA	Intergenic	Intergenic	-19112	NM_173083	LIN9	NM_173083			LIN9			
32183	chrX	68324864	68324955	+	0	NA	Intergenic	Intergenic	60456	NM_022368	PJA1	NM_001032396			PJA1			
29962	chr9	104248323	104248419	+	0	NA	intron (NM_032342, intron 1 of 1)	-intron (NM_032342, intron 1 of 1)	1104	NM_032342	C9orf125	NM_032342			C9orf125			
24421	chr5	178737560	178737629	+	0	NA	intron (NM_021599, intron 2 of 10)	-intron (NM_014244, intron 2 of 21)	34837	NM_014244	ADAMTS2	NM_021599			ADAMTS2			
26997	chr7	138552754	138552796	+	0	NA	exon (NM_001164665, exon 15 of 20)	-exon (NM_001164665, exon 15 of 20)	-69834	NM_020632	ATP6V0A4	NM_130840			ATP6V0A4			
3891	chr10	85997546	85997594	+	0	NA	intron (NM_015613, intron 1 of 3)	-intron (NM_015613, intron 1 of 3)	3647	NM_015613	LRIT1	NM_015613			LRIT1			
16832	chr2	219894839	219894897	+	0	NA	exon (NM_194302, exon 10 of 35)	-exon (NM_194302, exon 10 of 35)	11377	NM_152389	CCDC108	NM_152389			CCDC108			
15199	chr19	47980182	47980274	+	0	NA	intron (NM_007059, intron 9 of 11)	-intron (NM_007059, intron 9 of 11)	-4921	NM_015063	SLC8A2	NM_015063			SLC8A2			
16599	chr2	1763106	1763233	+	0	NA	Intergenic	Intergenic	-14878	NM_012293	PXDN	NM_012293			PXDN			
26067	chr6	30042627	30042706	+	0	NA	intron (NM_170769, intron 1 of 4)	-intron (NM_025236, intron 1 of 3)	960	NM_170769	RNF39	NM_025236_5			RNF39			
21045	chr3	155424266	155424377	+	0	NA	Intergenic	Intergenic	-2324	NM_014996	PLCH1	NM_001130961			PLCH1			
