,PeakID,Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type
4753,19862,chr4,188377524,188377606,+,0,,"intron (NR_038931, intron 1 of 4)","-intron (NR_038931, intron 1 of 4)",49202,NR_038931,LOC339975,NR_038931,,,LOC339975,,,
4754,6765,chr13,28554819,28554997,+,0,,"intron (NM_001105577, intron 1 of 1)","-intron (NM_001105577, intron 1 of 1)",7866,NM_001105577,PRHOXNB,NM_001105577,,,PRHOXNB,,,
4755,11148,chr17,72405140,72405239,+,0,,Intergenic,Intergenic,-22478,NM_022036,GPRC5C,NM_022036,,,GPRC5C,,,
4756,25975,chr8,26372530,26372627,+,0,,"intron (NM_001197293, intron 1 of 13)","-intron (NM_001197293, intron 1 of 13)",869,NM_001197293,DPYSL2,NM_001244604,,,DPYSL2,,,
4757,20469,chr4,7461252,7461305,+,0,,promoter-TSS (NR_036238),-promoter-TSS (NR_036238),-477,NR_036238,MIR4274,NR_036238,,,MIR4274,,,
4758,26571,chr9,100776547,100776613,+,0,,"intron (NM_006401, intron 6 of 6)","-intron (NM_006401, intron 6 of 6)",31091,NM_006401,ANP32B,NM_006401,,,ANP32B,,,
4759,22274,chr5,79331048,79331115,+,0,,promoter-TSS (NM_003248),-promoter-TSS (NM_003248),-89,NM_003248,THBS4,NM_003248,,,THBS4,,,
4760,6902,chr13,68111317,68111382,+,0,,Intergenic,Intergenic,-306881,NM_020403,PCDH9,NM_203487,,,PCDH9,,,
4761,6004,chr12,48665789,48665862,+,0,,Intergenic,Intergenic,-56938,NM_181788,H1FNT,NM_181788,,,H1FNT,,,
4762,23889,chr7,1388289,1388331,+,0,,Intergenic,Intergenic,110799,NM_182924,MICALL2,NM_182924,,,MICALL2,,,
4763,9679,chr16,70672545,70672592,+,0,,"intron (NM_001172772, intron 1 of 6)","-intron (NM_001172771, intron 1 of 6)",14673,NM_001172772,IL34,NM_001172772,,,IL34,,,
4764,7040,chr13,92051447,92051507,+,0,,"intron (NM_004466, intron 1 of 7)","-intron (NM_004466, intron 1 of 7)",542,NM_004466,GPC5,NM_004466,,,GPC5,,,
4765,5749,chr12,20523122,20523232,+,0,,"exon (NM_000921, exon 1 of 16)","-exon (NM_000921, exon 1 of 16)",998,NM_000921,PDE3A,NM_000921,,,PDE3A,,,
4766,5230,chr12,118978801,118978844,+,0,,Intergenic,Intergenic,164464,NM_022491,SUDS3,NM_022491,,,SUDS3,,,
4767,13010,chr19,38039396,38039468,+,0,,promoter-TSS (NR_038247),-promoter-TSS (NR_038247),-419,NR_038247,LOC100507433,NR_038249,,,LOC100507433,,,
4768,13123,chr19,40732361,40732510,+,0,,"exon (NM_024877, exon 1 of 5)","-exon (NM_024877, exon 1 of 5)",162,NM_024877,CNTD2,NM_024877,,,CNTD2,,,
4769,2208,chr10,11487012,11487057,+,0,,Intergenic,Intergenic,87240,NM_001080491,USP6NL,NM_014688,,,USP6NL,,,
4770,9782,chr16,79356712,79356768,+,0,,Intergenic,Intergenic,277882,NM_001031804,MAF,NM_005360,,,MAF,,,
4771,17817,chr22,49576635,49576718,+,0,,Intergenic,Intergenic,314094,NR_038944,LOC100128946,NR_038944,,,LOC100128946,,,
4772,16014,chr20,3732550,3732617,+,0,,"exon (NM_001197327, exon 13 of 13)","-exon (NM_001197327, exon 13 of 13)",15869,NM_001039140,C20orf27,NM_001039140,,,C20orf27,,,
4773,819,chr1,201648334,201648413,+,0,,"intron (NM_020443, intron 1 of 29)","-intron (NM_020443, intron 1 of 29)",30923,NM_020443,NAV1,NM_001167738,,,NAV1,,,
4774,6796,chr13,31914128,31914221,+,0,,Intergenic,Intergenic,140062,NM_194318,B3GALTL,NM_194318,,,B3GALTL,,,
4775,23840,chr7,1337851,1337895,+,0,,Intergenic,Intergenic,65219,NM_001080461,UNCX,NM_001080461,,,UNCX,,,
4776,25757,chr8,144815487,144815573,+,0,,promoter-TSS (NR_033849),-promoter-TSS (NR_033849),-207,NR_039810,MIR4664,NR_039810,,,MIR4664,,,
4777,16640,chr20,9331299,9331394,+,0,,"intron (NM_182797, intron 5 of 35)","-intron (NM_000933, intron 4 of 35)",42899,NM_000933,PLCB4,NM_000933,,,PLCB4,,,
4778,12262,chr19,14598206,14598340,+,0,,"intron (NM_202470, intron 1 of 6)","-intron (NM_005716, intron 3 of 8)",8671,NM_202470,GIPC1,NM_202468,,,GIPC1,,,
4779,9764,chr16,78284149,78284196,+,0,,"intron (NM_016373, intron 5 of 8)","-intron (NM_016373, intron 5 of 8)",150845,NM_130844,WWOX,NM_016373,,,WWOX,,,
4780,16494,chr20,61886462,61886603,+,0,,promoter-TSS (NM_152864),-promoter-TSS (NM_152864),-640,NM_152864,NKAIN4,NM_152864,,,NKAIN4,,,
4781,24532,chr7,2720482,2720619,+,0,,"intron (NM_133463, intron 1 of 6)","-intron (NM_133463, intron 1 of 6)",1387,NM_133463,AMZ1,NM_133463,,,AMZ1,,,
4782,14377,chr2,129444511,129444611,+,0,,Intergenic,Intergenic,-368390,NM_004807,HS6ST1,NM_004807,,,HS6ST1,,,
4783,4025,chr11,20626729,20626785,+,0,,"intron (NM_004211, intron 3 of 15)","-intron (NM_004211, intron 3 of 15)",5811,NM_004211,SLC6A5,NM_004211,,,SLC6A5,,,
4784,13462,chr19,50016606,50016743,+,0,,"exon (NM_001136019, exon 2 of 7)","-exon (NM_001136019, exon 2 of 7)",238,NM_004107,FCGRT,NM_004107,,,FCGRT,,,
4785,3345,chr10,82574006,82574115,+,0,,Intergenic,Intergenic,273485,NM_001145719,SH2D4B,NM_207372,,,SH2D4B,,,
4786,19830,chr4,185027349,185027482,+,0,,"intron (NM_153343, intron 6 of 7)","-intron (NM_153343, intron 6 of 7)",111699,NM_153343,ENPP6,NM_153343,,,ENPP6,,,
4787,1143,chr1,2396625,2396727,+,0,,Intergenic,Intergenic,-11078,NM_014638,PLCH2,NM_014638,,,PLCH2,,,
4788,21364,chr5,171924234,171924281,+,0,,Intergenic,Intergenic,-42730,NM_001017995,SH3PXD2B,NM_001017995,,,SH3PXD2B,,,
4789,7705,chr14,69260203,69260299,+,0,,"exon (NM_001244698, exon 1 of 3)","-exon (NM_001244698, exon 1 of 3)",380,NM_004926,ZFP36L1,NM_001244698,,,ZFP36L1,,,
4790,8917,chr16,1267538,1267614,+,0,,"intron (NM_021098, intron 31 of 34)","-intron (NM_001005407, intron 30 of 33)",7678,NM_012467,TPSG1,NM_012467,,,TPSG1,,,
4791,3583,chr11,116388407,116388489,+,0,,Intergenic,Intergenic,255266,NM_032725,BUD13,NM_001159736,,,BUD13,,,
4792,4242,chr11,36427228,36427323,+,0,,"intron (NM_024841, intron 4 of 9)","-intron (NM_001160167, intron 3 of 8)",4728,NM_001160169,PRR5L,NM_001160168,,,PRR5L,,,
4793,6693,chr13,21650228,21650271,+,0,,Intergenic,Intergenic,-14527,NM_014572,LATS2,NM_014572,,,LATS2,,,
4794,6448,chr13,109128700,109128766,+,0,,Intergenic,Intergenic,-119767,NM_015011,MYO16,NM_001198950,,,MYO16,,,
4795,20431,chr4,7070718,7070863,+,0,,promoter-TSS (NM_025196),-promoter-TSS (NM_025196),-990,NM_025196,GRPEL1,NM_025196,,,GRPEL1,,,
4796,3996,chr11,2020477,2020551,+,0,,Intergenic,Intergenic,-1449,NR_002196,H19,NR_002196,,,H19,,,
4797,5058,chr12,110270844,110270963,+,0,,promoter-TSS (NR_039718),-promoter-TSS (NR_039718),-250,NR_039718,MIR4497,NR_039718,,,MIR4497,,,
4798,2194,chr10,112255729,112255768,+,0,,Intergenic,Intergenic,-1877,NM_004419,DUSP5,NM_004419,,,DUSP5,,,
4799,1750,chr1,4771085,4771124,+,0,,"intron (NM_018836, intron 1 of 5)","-intron (NM_001042478, intron 1 of 5)",55999,NM_018836,AJAP1,NM_001042478,,,AJAP1,,,
4800,26033,chr8,35568618,35568675,+,0,,"intron (NM_080872, intron 8 of 16)","-intron (NM_080872, intron 8 of 16)",475671,NM_080872,UNC5D,NM_080872,,,UNC5D,,,
4801,15472,chr2,573995,574109,+,0,,Intergenic,Intergenic,103387,NM_152834,TMEM18,NM_152834,,,TMEM18,,,
4802,21087,chr5,140530411,140530498,+,0,,"exon (NM_018939, exon 1 of 1)","-exon (NM_018939, exon 1 of 1)",615,NM_018939,PCDHB6,NM_018939,,,PCDHB6,,,
4803,346,chr1,153370284,153370409,+,0,,Intergenic,Intergenic,-6682,NM_002964,S100A8,NM_002964,,,S100A8,,,
4804,27906,chr9,99694024,99694091,+,0,,"exon (NM_001045477, exon 2 of 7)","-exon (NM_001045477, exon 2 of 7)",2771,NM_001170741,FAM22G,NM_001170741,,,FAM22G,,,
4805,11603,chr17,81101072,81101190,+,0,,Intergenic,Intergenic,63564,NM_001004431,METRNL,NM_001004431,,,METRNL,,,
4806,9278,chr16,32641651,32641717,+,0,,Intergenic,Intergenic,45764,NM_001205260_1,TP53TG3C,NM_001205259_1,,,TP53TG3C,,,
4807,3586,chr11,116451201,116451239,+,0,,Intergenic,Intergenic,192494,NM_032725,BUD13,NM_001159736,,,BUD13,,,
4808,13712,chr19,54495503,54495581,+,0,,promoter-TSS (NM_031897),-promoter-TSS (NM_031897),0,NM_145815,CACNG6,NM_031897,,,CACNG6,,,
4809,14401,chr2,130566310,130566390,+,0,,Intergenic,Intergenic,125540,NR_026740,LOC389033,NR_026740,,,LOC389033,,,
4810,4751,chr11,70748170,70748268,+,0,,"intron (NM_012309, intron 7 of 22)","-intron (NM_012309, intron 7 of 22)",-29746,NR_037437,MIR3664,NR_037437,,,MIR3664,,,
4811,9023,chr16,19422387,19422496,+,0,,"exon (NM_001105248, exon 1 of 22)","-exon (NM_001105248, exon 1 of 22)",384,NM_001105248,TMC5,NM_024780,,,TMC5,,,
4812,27857,chr9,96108671,96108837,+,0,,promoter-TSS (NM_001098808),-promoter-TSS (NM_001098808),-58,NM_001098808,C9orf129,NM_001098808,,,C9orf129,,,
4813,11575,chr17,80272854,80272954,+,0,,"exon (NM_006137, exon 4 of 4)","-exon (NM_006137, exon 4 of 4)",2576,NM_006137,CD7,NM_006137,,,CD7,,,
4814,3028,chr10,45383225,45383291,+,0,,"intron (NR_033842, intron 2 of 7)","-intron (NR_033842, intron 2 of 7)",-23506,NM_001123376,TMEM72,NM_001123376,,,TMEM72,,,
4815,15614,chr2,796411,796475,+,0,,"intron (NR_033880, intron 3 of 3)","-intron (NR_033880, intron 3 of 3)",67669,NR_033880,LOC339822,NR_033880,,,LOC339822,,,
4816,10673,chr17,39932157,39932251,+,0,,"intron (NM_021991, intron 1 of 14)","-intron (NM_002230, intron 1 of 13)",10760,NM_021991,JUP,NM_021991,,,JUP,,,
4817,1290,chr1,27278613,27278670,+,0,,"exon (NM_152365, exon 2 of 4)","-exon (NM_152365, exon 2 of 4)",8260,NM_152365,C1orf172,NM_152365,,,C1orf172,,,
4818,15564,chr2,71249656,71249763,+,0,,Intergenic,Intergenic,-1496,NR_002185,OR7E91P,NR_002185,,,OR7E91P,,,
4819,2369,chr10,126985310,126985422,+,0,,Intergenic,Intergenic,-135742,NM_001083914,CTBP2,NM_022802,,,CTBP2,,,
4820,19576,chr4,155548206,155548247,+,0,,Intergenic,Intergenic,-14324,NM_000509,FGG,NM_000509,,,FGG,,,
4821,11286,chr17,76254729,76254839,+,0,,Intergenic,Intergenic,27393,NM_001204210,TMEM235,NM_001204212,,,TMEM235,,,
4822,11384,chr17,77670629,77670726,+,0,,Intergenic,Intergenic,10381,NR_039893,MIR4739,NR_039893,,,MIR4739,,,
4823,9988,chr16,883623,883693,+,0,,Intergenic,Intergenic,28215,NM_001013638,PRR25,NM_001013638,,,PRR25,,,
4824,7181,chr14,104012873,104012974,+,0,,Intergenic,Intergenic,15732,NM_001015049,BAG5,NM_001015048,,,BAG5,,,
4825,24258,chr7,157461311,157461376,+,0,,"intron (NM_130843, intron 12 of 21)","-intron (NM_002847, intron 13 of 22)",-94229,NR_029689,MIR153-2,NR_029689,,,MIR153-2,,,
4826,18294,chr3,136751538,136751681,+,0,,Intergenic,Intergenic,74902,NM_144717,IL20RB,NM_144717,,,IL20RB,,,
4827,28167,chrX,150345997,150346142,+,0,,"intron (NM_004224, intron 1 of 1)","-intron (NM_004224, intron 1 of 1)",1013,NM_004224,GPR50,NM_004224,,,GPR50,,,
4828,13962,chr19,7678786,7678868,+,0,,"intron (NM_020902, intron 11 of 16)","-intron (NM_001080429, intron 13 of 18)",15612,NM_020196,XAB2,NM_020196,,,XAB2,,,
4829,16859,chr21,43188433,43188531,+,0,,Intergenic,Intergenic,-1233,NM_020639,RIPK4,NM_020639,,,RIPK4,,,
4830,17772,chr22,48972529,48972596,+,0,,"intron (NM_015381, intron 1 of 3)","-intron (NM_001082967, intron 1 of 3)",444,NM_015381,FAM19A5,NM_001082967,,,FAM19A5,,,
4831,22207,chr5,671342,671459,+,0,,"intron (NM_007030, intron 2 of 3)","-intron (NM_007030, intron 2 of 3)",22110,NM_007030,TPPP,NM_007030,,,TPPP,,,
4832,4868,chr11,81065604,81065657,+,0,,Intergenic,Intergenic,536248,NR_036186,MIR4300,NR_036186,,,MIR4300,,,
4833,8275,chr15,55198978,55199065,+,0,,Intergenic,Intergenic,290210,NM_016304,RSL24D1,NM_016304,,,RSL24D1,,,
4834,28165,chrX,1501648,1501736,+,0,,TTS (NM_002183),-TTS (NM_002183),9347,NM_001636,SLC25A6,NM_001636,,,SLC25A6,,,
4835,18711,chr3,195611844,195611919,+,0,,"exon (NM_001010938, exon 4 of 15)","-exon (NM_001010938, exon 4 of 15)",10551,NM_001010938,TNK2,NM_001010938,,,TNK2,,,
4836,9378,chr16,4729832,4729911,+,0,,"intron (NM_001142291, intron 11 of 15)","-intron (NM_001142289, intron 11 of 15)",-13823,NM_032349,NUDT16L1,NM_032349,,,NUDT16L1,,,
4837,15381,chr2,426264,426308,+,0,,Intergenic,Intergenic,-137978,NM_001002919,FAM150B,NM_001002919,,,FAM150B,,,
4838,13218,chr19,4368669,4368789,+,0,,"intron (NM_003025, intron 1 of 9)","-intron (NM_001199943, intron 1 of 8)",25205,NM_032868,MPND,NM_032868,,,MPND,,,
4839,7263,chr14,104854509,104854565,+,0,,Intergenic,Intergenic,-191519,NM_001008404,C14orf180,NM_001008404,,,C14orf180,,,
4840,7444,chr14,21191421,21191504,+,0,,Intergenic,Intergenic,-22637,NM_006683,EDDM3A,NM_006683,,,EDDM3A,,,
4841,15911,chr20,30062997,30063049,+,0,,promoter-TSS (NM_014012),-promoter-TSS (NM_014012),-82,NM_014012,REM1,NM_014012,,,REM1,,,
4842,14102,chr2,100597642,100597774,+,0,,"intron (NM_002285, intron 6 of 23)","-intron (NM_001025108, intron 6 of 23)",124337,NM_001025108,AFF3,NM_002285,,,AFF3,,,
4843,1218,chr1,249097750,249097871,+,0,,Intergenic,Intergenic,22344,NM_030645,SH3BP5L,NM_030645,,,SH3BP5L,,,
4844,17606,chr22,44320274,44320323,+,0,,"intron (NM_025225, intron 1 of 8)","-intron (NM_025225, intron 1 of 8)",679,NM_025225,PNPLA3,NM_025225,,,PNPLA3,,,
4845,17492,chr22,39651053,39651193,+,0,,Intergenic,Intergenic,-10166,NM_002608,PDGFB,NM_002608,,,PDGFB,,,
4846,22833,chr6,168785583,168785694,+,0,,Intergenic,Intergenic,-56193,NM_001166412,SMOC2,NM_001166412,,,SMOC2,,,
4847,5071,chr12,111472120,111472161,+,0,,"intron (NM_015267, intron 1 of 21)","-intron (NM_015267, intron 1 of 21)",312,NM_015267,CUX2,NM_015267,,,CUX2,,,
4848,2138,chr10,104173839,104173942,+,0,,"exon (NM_002779, exon 5 of 17)","-exon (NM_002779, exon 5 of 17)",5011,NM_002779,PSD,NM_002779,,,PSD,,,
4849,10327,chr17,17677828,17677888,+,0,,"intron (NM_030665, intron 2 of 5)","-intron (NM_030665, intron 2 of 5)",4985,NR_024007,SMCR5,NR_024007,,,SMCR5,,,
4850,1343,chr1,2979789,2979940,+,0,,TTS (NR_024371),-TTS (NR_024371),4425,NR_015440,FLJ42875,NR_024371,,,FLJ42875,,,
4851,8343,chr15,65203911,65203972,+,0,,promoter-TSS (NM_182703),-promoter-TSS (NM_182703),-160,NM_182703,ANKDD1A,NM_182703,,,ANKDD1A,,,
4852,633,chr1,18434263,18434308,+,0,,promoter-TSS (NM_032880),-promoter-TSS (NM_032880),45,NM_032880,IGSF21,NM_032880,,,IGSF21,,,
4853,24527,chr7,2671058,2671182,+,0,,promoter-TSS (NM_025250),-promoter-TSS (NM_025250),-483,NM_025250,TTYH3,NM_025250,,,TTYH3,,,
4854,734,chr1,19181279,19181429,+,0,,"exon (NM_152232, exon 3 of 6)","-exon (NM_152232, exon 3 of 6)",4801,NM_152232,TAS1R2,NM_152232,,,TAS1R2,,,
4855,10961,chr17,61615864,61616030,+,0,,"exon (NM_030779, exon 8 of 14)","-exon (NM_030779, exon 8 of 14)",-11875,NM_005828,DCAF7,NM_005828,,,DCAF7,,,
4856,25544,chr8,142651297,142651430,+,0,,Intergenic,Intergenic,-134033,NM_207414,FLJ43860,NM_207414,,,FLJ43860,,,
4857,9259,chr16,32031312,32031378,+,0,,Intergenic,Intergenic,132529,NR_002827,HERC2P4,NR_002827,,,HERC2P4,,,
4858,26425,chr8,83003019,83003126,+,0,,Intergenic,Intergenic,-248551,NM_022133,SNX16,NM_022133,,,SNX16,,,
4859,2728,chr10,135051729,135051771,+,0,,"intron (NM_014468, intron 1 of 2)","-intron (NM_014468, intron 1 of 2)",342,NM_014468,VENTX,NM_014468,,,VENTX,,,
4860,3517,chr11,1080408,1080521,+,0,,"intron (NM_002457, intron 8 of 49)","-intron (NM_002457, intron 8 of 49)",5589,NM_002457,MUC2,NM_002457,,,MUC2,,,
4861,27931,chrX,10298355,10298407,+,0,,Intergenic,Intergenic,173396,NM_001830,CLCN4,NM_001830,,,CLCN4,,,
4862,28004,chrX,119831596,119831707,+,0,,Intergenic,Intergenic,-67646,NM_001011551,C1GALT1C1,NM_001011551,,,C1GALT1C1,,,
4863,5527,chr12,131534177,131534290,+,0,,"intron (NM_198827, intron 13 of 24)","-intron (NM_198827, intron 13 of 24)",95781,NM_198827,GPR133,NM_198827,,,GPR133,,,
4864,15196,chr2,241874694,241874834,+,0,,Intergenic,Intergenic,32104,NR_033841,LOC200772,NR_033841,,,LOC200772,,,
4865,12784,chr19,31839923,31839966,+,0,,"intron (NM_020856, intron 1 of 1)","-intron (NM_020856, intron 1 of 1)",246,NM_020856,TSHZ3,NM_020856,,,TSHZ3,,,
4866,28357,chrX,31012623,31012689,+,0,,Intergenic,Intergenic,77514,NM_031894,FTHL17,NM_031894,,,FTHL17,,,
4867,27055,chr9,137943528,137943632,+,0,,Intergenic,Intergenic,-23509,NM_014279,OLFM1,NM_014279,,,OLFM1,,,
4868,4861,chr11,8040772,8040838,+,0,,Intergenic,Intergenic,-19375,NM_003320,TUB,NM_177972,,,TUB,,,
4869,16748,chr21,27909023,27909084,+,0,,"intron (NM_052954, intron 2 of 3)","-intron (NM_052954, intron 2 of 3)",36528,NM_052954,CYYR1,NM_052954,,,CYYR1,,,
4870,19635,chr4,163660752,163660791,+,0,,Intergenic,Intergenic,427302,NM_001128931,NAF1,NM_001128931,,,NAF1,,,
4871,19850,chr4,187303249,187303299,+,0,,"intron (NR_033900, intron 1 of 3)","-intron (NR_033900, intron 1 of 3)",116156,NM_000128,F11,NM_000128,,,F11,,,
4872,14874,chr2,217544472,217544601,+,0,,"intron (NM_000599, intron 1 of 3)","-intron (NM_000599, intron 1 of 3)",15736,NM_000599,IGFBP5,NM_000599,,,IGFBP5,,,
4873,12391,chr19,1762508,1762586,+,0,,"intron (NM_001080488, intron 1 of 1)","-intron (NM_001080488, intron 1 of 1)",8885,NM_001080488,ONECUT3,NM_001080488,,,ONECUT3,,,
4874,25413,chr8,135220814,135220852,+,0,,Intergenic,Intergenic,-389481,NR_002438,ZFAT-AS1,NR_002438,,,ZFAT-AS1,,,
4875,7459,chr14,22166005,22166120,+,0,,Intergenic,Intergenic,32765,NM_001001912,OR4E2,NM_001001912,,,OR4E2,,,
4876,4890,chr11,830238,830319,+,0,,"exon (NM_173584, exon 6 of 9)","-exon (NM_173584, exon 6 of 9)",-2674,NM_139029,CD151,NM_139030,,,CD151,,,
4877,22195,chr5,6422317,6422407,+,0,,Intergenic,Intergenic,-26374,NM_001145161,UBE2QL1,NM_001145161,,,UBE2QL1,,,
4878,16024,chr20,37490413,37490479,+,0,,"intron (NM_015568, intron 2 of 10)","-intron (NM_001172735, intron 2 of 9)",56098,NM_015568,PPP1R16B,NM_015568,,,PPP1R16B,,,
4879,23009,chr6,27529137,27529230,+,0,,Intergenic,Intergenic,-88286,NM_007149,ZNF184,NM_007149,,,ZNF184,,,
4880,14898,chr2,219858031,219858096,+,0,,promoter-TSS (NM_005209),-promoter-TSS (NM_005209),58,NM_005209,CRYBA2,NM_057093,,,CRYBA2,,,
4881,534,chr1,171350963,171351086,+,0,,Intergenic,Intergenic,42989,NR_002719,TOP1P1,NR_002719,,,TOP1P1,,,
4882,20511,chr4,80166702,80166780,+,0,,"intron (NR_038342, intron 4 of 5)","-intron (NR_038342, intron 4 of 5)",80430,NM_032693,NAA11,NM_032693,,,NAA11,,,
4883,23186,chr6,35470364,35470435,+,0,,"intron (NM_003322, intron 13 of 14)","-intron (NM_003322, intron 13 of 14)",-5538,NM_003214,TEAD3,NM_003214,,,TEAD3,,,
4884,1264,chr1,26479433,26479499,+,0,,Intergenic,Intergenic,-6045,NM_024869,FAM110D,NM_024869,,,FAM110D,,,
4885,7852,chr14,92407898,92407966,+,0,,"intron (NM_006329, intron 2 of 10)","-intron (NM_006329, intron 2 of 10)",6114,NM_006329,FBLN5,NM_006329,,,FBLN5,,,
4886,1759,chr1,48044196,48044240,+,0,,Intergenic,Intergenic,142529,NM_004474,FOXD2,NM_004474,,,FOXD2,,,
4887,150,chr1,11596622,11596745,+,0,,"exon (NM_020780, exon 21 of 21)","-exon (NM_020780, exon 21 of 21)",57388,NM_020780,PTCHD2,NM_020780,,,PTCHD2,,,
4888,24965,chr7,73465964,73466002,+,0,,"intron (NM_001081755, intron 15 of 31)","-intron (NM_000501, intron 15 of 32)",23556,NM_001081754,ELN,NM_000501,,,ELN,,,
4889,23827,chr7,131912228,131912336,+,0,,"exon (NM_020911, exon 7 of 32)","-exon (NM_020911, exon 7 of 32)",349041,NM_001105543,PLXNA4,NM_020911,,,PLXNA4,,,
4890,20963,chr5,131608776,131608818,+,0,,"exon (NM_001131027, exon 6 of 6)","-exon (NM_001131027, exon 6 of 6)",15446,NM_003687,PDLIM4,NM_003687,,,PDLIM4,,,
4891,16811,chr21,37529753,37529803,+,0,,Intergenic,Intergenic,-1172,NR_038892,CBR3-AS1,NR_038892,,,CBR3-AS1,,,
4892,17501,chr22,39833373,39833524,+,0,,TTS (NM_153497),-TTS (NM_153497),5283,NR_040535,LOC100506472,NR_040535,,,LOC100506472,,,
4893,24446,chr7,1752867,1752926,+,0,,"intron (NM_001128636, intron 1 of 1)","-intron (NM_001128636, intron 1 of 1)",4098,NM_001128636,ELFN1,NM_001128636,,,ELFN1,,,
4894,6861,chr13,53776137,53776184,+,0,,Intergenic,Intergenic,173284,NM_006418,OLFM4,NM_006418,,,OLFM4,,,
4895,16454,chr20,61657344,61657405,+,0,,"intron (NR_033370, intron 1 of 4)","-intron (NR_033370, intron 1 of 4)",11006,NR_028295,LINC00029,NR_028295,,,LINC00029,,,
4896,2405,chr10,130338760,130338843,+,0,,Intergenic,Intergenic,-414333,NM_002417,MKI67,NM_002417,,,MKI67,,,
4897,7618,chr14,52505473,52505538,+,0,,"exon (NM_007361, exon 9 of 22)","-exon (NM_007361, exon 9 of 22)",30441,NM_007361,NID2,NM_007361,,,NID2,,,
4898,17730,chr22,48699340,48699411,+,0,,Intergenic,Intergenic,29199,NR_036172,MIR3201,NR_036172,,,MIR3201,,,
4899,5186,chr12,116975059,116975110,+,0,,TTS (NR_027346),-TTS (NR_027346),3844,NR_027346,LINC00173,NR_027346,,,LINC00173,,,
4900,15898,chr20,2781123,2781167,+,0,,"exon (NM_001184699, exon 1 of 14)","-exon (NM_001184699, exon 1 of 14)",147,NM_001184699,CPXM1,NM_001184699,,,CPXM1,,,
4901,18212,chr3,128175369,128175431,+,0,,Intergenic,Intergenic,-7037,NR_037890,DNAJB8-AS1,NR_037890,,,DNAJB8-AS1,,,
4902,3337,chr10,82296053,82296116,+,0,,Intergenic,Intergenic,-1574,NM_207372,SH2D4B,NM_207372,,,SH2D4B,,,
4903,14045,chr19,853257,853322,+,0,,"exon (NM_001972, exon 3 of 5)","-exon (NM_001972, exon 3 of 5)",998,NM_001972,ELANE,NM_001972,,,ELANE,,,
4904,11116,chr17,71755243,71755320,+,0,,"intron (NR_027146, intron 3 of 3)","-intron (NR_027146, intron 3 of 3)",-27680,NR_040020,LOC400620,NR_040020,,,LOC400620,,,
4905,25846,chr8,1615532,1615640,+,0,,"intron (NM_004745, intron 5 of 11)","-intron (NM_004745, intron 5 of 11)",-96284,NM_018941,CLN8,NM_018941,,,CLN8,,,
4906,3301,chr10,79794648,79794732,+,0,,"intron (NM_033022, intron 1 of 5)","-intron (NM_001026, intron 1 of 4)",1172,NM_001026,RPS24,NM_001142285,,,RPS24,,,
4907,1965,chr1,80519342,80519393,+,0,,Intergenic,Intergenic,-1046872,NM_022159,ELTD1,NM_022159,,,ELTD1,,,
4908,13790,chr19,55963711,55963861,+,0,,TTS (NM_001136201),-TTS (NM_001136201),9263,NM_001136201,ISOC2,NM_001136201,,,ISOC2,,,
4909,21761,chr5,1883752,1883882,+,0,,promoter-TSS (NM_016358),-promoter-TSS (NM_016358),-937,NM_016358,IRX4,NM_016358,,,IRX4,,,
4910,16973,chr21,45866097,45866161,+,0,,Intergenic,Intergenic,-9264,NM_030891,LRRC3,NM_030891,,,LRRC3,,,
4911,12296,chr19,15568340,15568408,+,0,,"exon (NM_022904, exon 9 of 18)","-exon (NM_022904, exon 9 of 18)",7008,NM_022904,RASAL3,NM_022904,,,RASAL3,,,
4912,24176,chr7,155625648,155625768,+,0,,Intergenic,Intergenic,-20741,NM_000193,SHH,NM_000193,,,SHH,,,
4913,9640,chr16,67679039,67679114,+,0,,promoter-TSS (NM_001013838),-promoter-TSS (NM_001013838),46,NM_001013838,RLTPR,NM_001013838,,,RLTPR,,,
4914,13906,chr19,595971,596093,+,0,,"intron (NM_001194, intron 1 of 7)","-intron (NM_001194, intron 1 of 7)",6139,NM_001194,HCN2,NM_001194,,,HCN2,,,
4915,20087,chr4,3664359,3664440,+,0,,Intergenic,Intergenic,15183,NR_034136,LOC100133461,NR_034136,,,LOC100133461,,,
4916,514,chr1,167599618,167599677,+,0,,"exon (NM_052862, exon 1 of 7)","-exon (NM_052862, exon 1 of 7)",173,NM_052862,RCSD1,NM_052862,,,RCSD1,,,
4917,13438,chr19,49315625,49315699,+,0,,TTS (NM_016246),-TTS (NM_016246),-1342,NM_001190,BCAT2,NR_028450,,,BCAT2,,,
4918,3105,chr10,50969952,50970053,+,0,,"intron (NM_018245, intron 1 of 22)","-intron (NM_001143996, intron 1 of 21)",423,NM_001143997,OGDHL,NM_001143997,,,OGDHL,,,
4919,10240,chr17,11283077,11283124,+,0,,"intron (NM_001173462, intron 3 of 4)","-intron (NM_001173461, intron 2 of 3)",138360,NM_207386,SHISA6,NM_001173461,,,SHISA6,,,
4920,10527,chr17,32484240,32484278,+,0,,promoter-TSS (NM_001094),-promoter-TSS (NM_001094),-434,NM_001094,ACCN1,NM_183377,,,ACCN1,,,
